#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
82	ул. Осканова, д. 32, Карабулак	1975	Нет	2 974.70
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
83	ул. Осканова, д. 33, Карабулак	1975	Есть	Нет	70	Не присвоен	4	5	5	3 538.00	196.40	861.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
84	ул. Базоркина, д. 43а, Малгобек	2013	Нет	48	3	4	4	3 008.00	812.00	740.00	960.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
85	ул. Гарданова, д. 29а, Малгобек	2011	Нет	46	4	5	5	1 468.30	1 611.30	1 491.30	1 985.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
86	ул. Осканова, д. 29, Карабулак	1973	Нет	2 941.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
87	ул. Осканова, д. 27, Карабулак	1971	Нет	1 382.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
88	ул. Балкоева, д. 34, Карабулак	1988	Нет	2 105.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
89	ул. Градусова, д. 36, Карабулак	1984	Нет	3 045.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
90	ул. Джабагиева, д. 36, Карабулак	1989	Нет	1 008.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Площадь жилых помещений м2	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение
91	ул. Московская, д. 11, Назрань	1977	Нет	2	904.00	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
92	пр-кт. Базоркина, д. 8, Назрань	1962	Нет	2 402.40
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
93	ул. Джабагиева, д. 17, Карабулак	1961	Да	2	2	442.88	2 228.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
94	ул. Джабагиева, д. 12, Карабулак	1958	Да	2	2	306.80	619.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
95	ул. Джабагиева, д. 13, Карабулак	1958	Да	2	2	306.80	619.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
96	пр-кт. Базоркина, д. 39, Назрань	1969	Нет	4	4	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Газоснабжение	Несущие стены
97	ул. Московская, д. 23, Назрань	1978	Нет	10	5	5 582.80	Автономное	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Несущие стены
98	ул. Московская, д. 27, Назрань	1973	Нет	6	5	2 131.20	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Несущие стены
99	ул. Осканова, д. 34, Карабулак	1984	Нет	8	5	4 673.39	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
100	ул. Балкоева, д. 8, Карабулак	1958	Не имеется	Нет	8	A	2	2	2	423.00	0.00	46.20	326.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
101	ул. Балкоева, д. 7, Карабулак	1958	Не имеется	Нет	8	A	2	2	2	423.00	0.00	46.00	2 040.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
102	ул. Джабагиева, д. 4, Карабулак	1958	Нет	8	Не присвоен	2	2	2	423.00	46.00	324.00	кирпичный	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
103	ул. Джабагиева, д. 6, Карабулак	1958	Не имеется	Нет	8	Не присвоен	2	2	2	423.00	46.00	316.92	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
104	ул. Джабагиева, д. 3, Карабулак	1958	Не имеется	Нет	8	2	2	2	423.00	46.00	2 126.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
105	ул. Джабагиева, д. 5, Карабулак	1958	Не имеется	Нет	8	A	2	2	2	423.00	0.00	46.00	2 118.61	0.00	Кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
106	ул. Джабагиева, д. 1, Карабулак	1958	Не имеется	Нет	8	Не присвоен	2	2	2	423.00	0.00	46.00	3 059.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Несущие стены
107	ул. Джабагиева, д. 17, к. а, Карабулак	1958	Нет	2	2	525.50	Каменные, кирпичные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
108	ул. Джабагиева, д. 2, Карабулак	1958	Не имеется	Нет	8	Не присвоен	2	2	2	423.00	46.00	3 055.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
109	ул. Джабагиева, д. 9, Карабулак	1958	Не имеется	Нет	8	Не присвоен	2	2	2	423.00	46.00	324.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
110	ул. Джабагиева, д. 41, Карабулак	2011	Нет	2	3	1 796.00	Многоквартирный дом
#	Адрес	Дом признан аварийным
111	ул. Джабагиева, д. 42, Карабулак	Нет
#	Адрес	Дом признан аварийным	Газоснабжение
112	ул. Московская, д. 31, Назрань	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Несущие стены	Перекрытия
113	ул. Московская, д. 2, Назрань	1963	Да	1	2	398.00	2 090.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
114	пр-кт. Базоркина, д. 3, Назрань	1964	Да	3	4	1 977.00	1 000.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
115	ул. Осканова, д. 6, к. а, Малгобек	1968	Нет	Не присвоен	3	3	2 135.60	855.30	679.00	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
116	ул. Алероева, д. 74, Малгобек	1990	Нет	8	Не присвоен	2	2	330.00	187.00	406.00	жилой дом	Многоквартирный дом	1	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	259.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
117	ул. Красноармейская, д. 22, Малгобек	1964	Нет	Не присвоен	1	2	242.00	166.00	280.00	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Печное	Центральное	Центральное	Каменные, кирпичные	Деревянные
#	Адрес	Дом признан аварийным	Газоснабжение
118	ул. Гарданова, д. 114, Малгобек	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
119	ул. Кожедуба, д. 49, Малгобек	1990	Нет	8	2	2	2	363.00	210.80	194.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
120	ул. Кожедуба, д. 51, Малгобек	1990	Нет	8	2	2	2	363.00	210.80	194.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
121	ул. Кожедуба, д. 53, Малгобек	1990	Нет	8	2	2	2	363.00	210.80	194.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
122	ул. Алероева, д. 76, Малгобек	1990	Нет	8	2	2	2	330.40	201.80	187.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
123	ул. Алероева, д. 78, Малгобек	1990	Нет	8	2	2	2	330.40	201.80	187.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
124	ул. Алероева, д. 80, Малгобек	1990	Нет	8	2	2	2	330.40	201.80	187.80	850.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
125	ул. Нурадилова, д. 64, Малгобек	1970	Нет	8	1	1	1	249.50	220.50	208.50	746.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным	Газоснабжение
126	ул. Орджоникидзе, д. 8, Малгобек	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Серия, тип постройки здания	Тип дома	Газоснабжение
127	пер. Базоркина, д. 12, Малгобек	2004	Нет	18	3	жилой дом	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
128	ул. Базоркина, д. 54, Малгобек	1956	Нет	8	2	2	2	224.90	515.00	746.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
129	ул. Базоркина, д. 71, Малгобек	1968	Нет	8	1	2	2	212.40	182.20	170.20	616.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
130	ул. Базоркина, д. 73, Малгобек	1963	Нет	8	2	2	2	212.40	194.00	170.00	776.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
131	ул. Базоркина, д. 75, Малгобек	1963	Нет	8	2	2	2	242.40	192.30	168.30	776.00	Многоквартирный дом	Автономное
#	Адрес	Дом признан аварийным	Газоснабжение
132	ул. Базоркина, д. 75, к. а, Малгобек	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Тип дома	Газоснабжение
